Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,24/10/2023 23:30,Ball Arena,Denver Nuggets,Los Angeles Lakers,119 - 107
2,1,25/10/2023 02:00,Chase Center,Golden State Warriors,Phoenix Suns,104 - 108
3,1,25/10/2023 23:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,116 - 110
4,1,25/10/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,143 - 120
5,1,25/10/2023 23:00,Madison Square Garden,New York Knicks,Boston Celtics,104 - 108
6,1,25/10/2023 23:00,Kia Center,Orlando Magic,Houston Rockets,116 - 86
7,1,25/10/2023 23:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,113 - 114
8,1,25/10/2023 23:30,Kaseya Center,Miami Heat,Detroit Pistons,103 - 102
9,1,25/10/2023 23:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,97 - 94
10,1,26/10/2023 00:00,United Center,Chicago Bulls,Oklahoma City Thunder,104 - 124
11,1,26/10/2023 00:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,104 - 111
12,1,26/10/2023 01:00,Delta Center,Utah Jazz,Sacramento Kings,114 - 130
13,1,26/10/2023 01:30,Frost Bank Center,San Antonio Spurs,Dallas Mavericks,119 - 126
14,1,26/10/2023 02:30,Crypto.com Arena,LA Clippers,Portland Trail Blazers,126 - 111
15,1,26/10/2023 23:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,118 - 117
16,1,27/10/2023 02:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,100 - 95
17,1,27/10/2023 23:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,99 - 111
18,1,27/10/2023 23:00,FedExForum,Memphis Grizzlies,Denver Nuggets,104 - 108
19,1,27/10/2023 23:30,State Farm Arena,Atlanta Hawks,New York Knicks,120 - 126
20,1,27/10/2023 23:30,TD Garden,Boston Celtics,Miami Heat,119 - 111
21,1,27/10/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Oklahoma City Thunder,105 - 108
22,1,28/10/2023 00:00,United Center,Chicago Bulls,Toronto Raptors,104 - 103
23,1,28/10/2023 00:00,Frost Bank Center,San Antonio Spurs,Houston Rockets,126 - 122
24,1,28/10/2023 00:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,125 - 120
25,1,28/10/2023 01:30,Delta Center,Utah Jazz,LA Clippers,120 - 118
26,1,28/10/2023 02:00,Moda Center,Portland Trail Blazers,Orlando Magic,97 - 102
27,1,28/10/2023 02:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,114 - 122
28,1,28/10/2023 23:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,118 - 102
29,1,28/10/2023 23:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,113 - 106
30,1,28/10/2023 23:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,96 - 87
31,1,28/10/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,113 - 125
32,1,28/10/2023 23:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,107 - 114
33,1,29/10/2023 00:00,Target Center,Minnesota Timberwolves,Miami Heat,106 - 90
34,1,29/10/2023 02:00,Footprint Center,Phoenix Suns,Utah Jazz,126 - 104
35,1,29/10/2023 19:30,Paycom Center,Oklahoma City Thunder,Denver Nuggets,95 - 128
36,1,29/10/2023 23:00,Toyota Center,Houston Rockets,Golden State Warriors,95 - 106
37,1,29/10/2023 23:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,110 - 127
38,1,29/10/2023 23:30,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,126 - 98
39,1,30/10/2023 01:00,Crypto.com Arena,LA Clippers,San Antonio Spurs,123 - 83
40,1,30/10/2023 01:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,132 - 127
41,2,30/10/2023 23:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,121 - 133
42,2,30/10/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,105 - 112
43,2,30/10/2023 23:00,Capital One Arena,Washington Wizards,Boston Celtics,107 - 126
44,2,30/10/2023 23:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,127 - 113
45,2,30/10/2023 23:30,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,91 - 99
46,2,31/10/2023 00:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,110 - 125
47,2,31/10/2023 00:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,122 - 114
48,2,31/10/2023 00:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,102 - 130
49,2,31/10/2023 00:00,Paycom Center,Oklahoma City Thunder,Detroit Pistons,124 - 112
50,2,31/10/2023 01:00,Ball Arena,Denver Nuggets,Utah Jazz,110 - 102
51,2,31/10/2023 02:30,Crypto.com Arena,Los Angeles Lakers,Orlando Magic,106 - 103
52,2,31/10/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,91 - 109
53,2,01/11/2023 02:00,Footprint Center,Phoenix Suns,San Antonio Spurs,114 - 115
54,2,01/11/2023 02:30,Crypto.com Arena,LA Clippers,Orlando Magic,118 - 102
55,2,01/11/2023 23:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,101 - 110
56,2,01/11/2023 23:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,130 - 111
57,2,01/11/2023 23:30,State Farm Arena,Atlanta Hawks,Washington Wizards,130 - 121
58,2,01/11/2023 23:30,TD Garden,Boston Celtics,Indiana Pacers,155 - 104
59,2,01/11/2023 23:30,Kaseya Center,Miami Heat,Brooklyn Nets,105 - 109
60,2,01/11/2023 23:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,89 - 95
61,2,01/11/2023 23:30,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,106 - 110
62,2,02/11/2023 00:00,Toyota Center,Houston Rockets,Charlotte Hornets,128 - 119
