iter	Passed	Remaining
0	164	164405
1	190	94850
2	214	71172
3	238	59476
4	263	52530
5	289	47878
6	316	44968
7	342	42492
8	367	40458
9	391	38732
10	418	37596
11	440	36228
12	462	35148
13	485	34161
14	506	33275
15	528	32510
16	550	31831
17	571	31201
18	593	30650
19	616	30186
20	638	29767
21	661	29386
22	682	28992
23	704	28643
24	727	28355
25	748	28052
26	770	27784
27	793	27550
28	816	27343
29	837	27095
30	859	26852
31	881	26668
32	902	26448
33	924	26268
34	953	26299
35	979	26237
36	1002	26093
37	1025	25962
38	1047	25811
39	1069	25675
40	1091	25530
41	1113	25398
42	1135	25278
43	1157	25160
44	1180	25063
45	1203	24965
46	1226	24875
47	1249	24776
48	1271	24686
49	1294	24590
50	1317	24508
51	1340	24429
52	1362	24349
53	1385	24263
54	1406	24159
55	1428	24080
56	1453	24052
57	1475	23969
58	1499	23916
59	1522	23853
60	1545	23783
61	1568	23734
62	1592	23689
63	1617	23651
64	1641	23605
65	1662	23532
66	1686	23490
67	1709	23434
68	1731	23365
69	1754	23311
70	1777	23256
71	1799	23190
72	1822	23144
73	1845	23090
74	1867	23029
75	1889	22968
76	1911	22909
77	1933	22854
78	1960	22852
79	1983	22809
80	2006	22767
81	2030	22726
82	2051	22669
83	2074	22621
84	2097	22575
85	2121	22550
86	2146	22525
87	2172	22517
88	2197	22498
89	2221	22465
90	2247	22446
91	2271	22413
92	2295	22389
93	2318	22343
94	2341	22303
95	2363	22253
96	2385	22207
97	2408	22165
98	2430	22118
99	2453	22079
100	2477	22053
101	2500	22015
102	2525	21992
103	2548	21955
104	2570	21906
105	2592	21867
106	2615	21827
107	2638	21790
108	2661	21757
109	2683	21714
110	2705	21669
111	2728	21630
112	2752	21602
113	2775	21568
114	2801	21556
115	2834	21599
116	2860	21590
117	2885	21567
118	2907	21526
119	2930	21490
120	2955	21473
121	2980	21451
122	3003	21412
123	3024	21367
124	3047	21332
125	3069	21291
126	3091	21253
127	3114	21216
128	3137	21184
129	3160	21149
130	3183	21115
131	3205	21080
132	3227	21042
133	3250	21005
134	3271	20964
135	3294	20930
136	3319	20911
137	3343	20882
138	3365	20846
139	3387	20808
140	3409	20773
141	3431	20734
142	3454	20702
143	3478	20678
144	3502	20651
145	3524	20615
146	3547	20587
147	3569	20549
148	3591	20513
149	3614	20480
150	3637	20451
151	3660	20420
152	3682	20384
153	3705	20353
154	3726	20315
155	3749	20286
156	3772	20258
157	3795	20228
158	3818	20196
159	3840	20161
160	3862	20129
161	3884	20093
162	3906	20062
163	3931	20041
164	3956	20023
165	3979	19991
166	4001	19958
167	4024	19928
168	4047	19902
169	4074	19891
170	4097	19863
171	4121	19840
172	4146	19819
173	4169	19791
174	4192	19763
175	4214	19731
176	4236	19698
177	4258	19667
178	4281	19637
179	4303	19603
180	4325	19572
181	4346	19536
182	4368	19505
183	4391	19475
184	4414	19445
185	4436	19415
186	4460	19393
187	4483	19363
188	4509	19348
189	4531	19318
190	4553	19286
191	4575	19256
192	4598	19229
193	4621	19201
194	4644	19171
195	4666	19143
196	4689	19114
197	4712	19087
198	4735	19061
199	4757	19029
200	4779	19000
201	4802	18973
202	4824	18942
203	4847	18915
204	4870	18887
205	4893	18860
206	4914	18828
207	4940	18811
208	4963	18785
209	4986	18759
210	5008	18730
211	5031	18700
212	5053	18672
213	5075	18642
214	5099	18617
215	5120	18586
216	5143	18559
217	5164	18526
218	5187	18499
219	5209	18470
220	5231	18440
221	5254	18415
222	5277	18386
223	5300	18362
224	5322	18333
225	5345	18306
226	5368	18279
227	5390	18252
228	5413	18225
229	5435	18196
230	5458	18170
231	5480	18143
232	5503	18117
233	5527	18092
234	5549	18065
235	5573	18041
236	5596	18017
237	5619	17992
238	5642	17967
239	5665	17942
240	5689	17918
241	5711	17890
242	5734	17863
243	5756	17834
244	5778	17805
245	5799	17775
246	5821	17746
247	5844	17722
248	5867	17695
249	5888	17666
250	5913	17644
251	5937	17624
252	5960	17598
253	5982	17569
254	6004	17542
255	6027	17517
256	6049	17489
257	6072	17463
258	6099	17451
259	6125	17434
260	6152	17419
261	6176	17398
262	6201	17379
263	6226	17358
264	6249	17332
265	6271	17305
266	6294	17279
267	6315	17250
268	6337	17222
269	6360	17196
270	6382	17168
271	6404	17142
272	6426	17113
273	6448	17087
274	6471	17062
275	6495	17038
276	6518	17014
277	6541	16989
278	6563	16961
279	6586	16937
280	6609	16912
281	6632	16886
282	6655	16861
283	6677	16834
284	6699	16808
285	6722	16783
286	6744	16755
287	6767	16729
288	6789	16702
289	6812	16679
290	6835	16654
291	6857	16627
292	6879	16600
293	6901	16574
294	6927	16556
295	6950	16530
296	6998	16564
297	7021	16541
298	7044	16516
299	7066	16488
300	7088	16461
301	7110	16433
302	7132	16407
303	7155	16381
304	7179	16359
305	7201	16331
306	7222	16303
307	7244	16276
308	7267	16252
309	7289	16225
310	7312	16201
311	7338	16183
312	7361	16157
313	7383	16129
314	7404	16102
315	7427	16076
316	7449	16050
317	7471	16024
318	7494	15998
319	7516	15973
320	7538	15946
321	7563	15924
322	7584	15897
323	7607	15873
324	7630	15848
325	7653	15822
326	7675	15796
327	7697	15770
328	7720	15745
329	7742	15719
330	7765	15695
331	7789	15673
332	7813	15650
333	7838	15630
334	7862	15607
335	7883	15579
336	7909	15560
337	7933	15538
338	8005	15609
339	8032	15591
340	8054	15566
341	8078	15542
342	8102	15519
343	8124	15492
344	8146	15466
345	8168	15440
346	8191	15414
347	8212	15387
348	8235	15361
349	8256	15334
350	8279	15309
351	8301	15282
352	8325	15259
353	8348	15234
354	8370	15208
355	8393	15183
356	8415	15156
357	8438	15131
358	8461	15108
359	8483	15082
360	8508	15060
361	8531	15035
362	8554	15011
363	8577	14987
364	8600	14962
365	8622	14935
366	8644	14909
367	8665	14882
368	8687	14856
369	8710	14831
370	8732	14805
371	8754	14779
372	8775	14751
373	8799	14727
374	8823	14706
375	8846	14680
376	8867	14653
377	8889	14627
378	8911	14601
379	8932	14574
380	8954	14548
381	8977	14523
382	8999	14497
383	9020	14470
384	9042	14444
385	9066	14422
386	9092	14401
387	9116	14379
388	9141	14358
389	9167	14338
390	9189	14312
391	9210	14285
392	9233	14261
393	9255	14236
394	9277	14210
395	9300	14184
396	9322	14159
397	9347	14138
398	9370	14113
399	9392	14089
400	9414	14063
401	9436	14037
402	9458	14011
403	9482	13988
404	9504	13963
405	9530	13943
406	9553	13919
407	9574	13893
408	9597	13868
409	9619	13843
410	9642	13818
411	9664	13792
412	9687	13768
413	9709	13743
414	9731	13717
415	9753	13692
416	9775	13667
417	9800	13645
418	9825	13624
419	9847	13598
420	9869	13574
421	9891	13548
422	9913	13523
423	9936	13498
424	9958	13473
425	9984	13452
426	10009	13431
427	10034	13411
428	10060	13391
429	10085	13369
430	10109	13345
431	10133	13323
432	10155	13298
433	10178	13273
434	10201	13249
435	10223	13224
436	10244	13198
437	10268	13175
438	10290	13150
439	10316	13130
440	10341	13108
441	10366	13087
442	10392	13067
443	10420	13048
444	10446	13028
445	10471	13006
446	10495	12984
447	10518	12960
448	10541	12936
449	10566	12914
450	10589	12890
451	10612	12866
452	10634	12841
453	10656	12816
454	10679	12792
455	10701	12766
456	10723	12741
457	10745	12715
458	10767	12691
459	10797	12675
460	10821	12652
461	10843	12627
462	10866	12603
463	10888	12577
464	10911	12554
465	10933	12528
466	10956	12504
467	10978	12480
468	11001	12455
469	11022	12429
470	11044	12404
471	11067	12380
472	11088	12354
473	11111	12330
474	11133	12305
475	11156	12280
476	11179	12257
477	11201	12232
478	11223	12207
479	11246	12183
480	11272	12163
481	11296	12140
482	11319	12115
483	11341	12091
484	11363	12066
485	11385	12041
486	11407	12016
487	11429	11991
488	11451	11966
489	11474	11943
490	11498	11919
491	11520	11894
492	11542	11870
493	11565	11846
494	11589	11823
495	11612	11800
496	11638	11778
497	11660	11754
498	11682	11728
499	11704	11704
500	11726	11679
501	11748	11654
502	11770	11630
503	11794	11607
504	11818	11584
505	11842	11561
506	11864	11536
507	11886	11511
508	11908	11487
509	11931	11463
510	11954	11439
511	11976	11414
512	11998	11390
513	12025	11370
514	12052	11350
515	12079	11330
516	12105	11309
517	12129	11286
518	12152	11263
519	12176	11239
520	12201	11218
521	12226	11195
522	12250	11173
523	12277	11152
524	12299	11128
525	12322	11104
526	12344	11079
527	12366	11054
528	12388	11030
529	12410	11005
530	12432	10980
531	12455	10956
532	12478	10933
533	12500	10908
534	12522	10884
535	12543	10858
536	12566	10835
537	12589	10811
538	12612	10787
539	12635	10763
540	12660	10741
541	12691	10724
542	12716	10702
543	12743	10682
544	12765	10657
545	12791	10635
546	12814	10612
547	12836	10587
548	12859	10564
549	12882	10539
550	12903	10514
551	12925	10489
552	12947	10465
553	12969	10441
554	12991	10416
555	13013	10392
556	13036	10368
557	13057	10343
558	13079	10318
559	13101	10294
560	13124	10270
561	13146	10246
562	13169	10222
563	13191	10197
564	13213	10173
565	13236	10149
566	13258	10125
567	13280	10100
568	13302	10076
569	13325	10052
570	13347	10028
571	13369	10003
572	13391	9979
573	13413	9954
574	13435	9930
575	13458	9906
576	13482	9883
577	13503	9859
578	13526	9835
579	13548	9811
580	13570	9786
581	13592	9762
582	13615	9738
583	13637	9714
584	13660	9690
585	13683	9667
586	13705	9642
587	13728	9619
588	13751	9595
589	13773	9571
590	13798	9549
591	13821	9525
592	13843	9501
593	13866	9477
594	13888	9453
595	13909	9428
596	13931	9404
597	13954	9381
598	13979	9358
599	14005	9337
600	14031	9315
601	14054	9291
602	14079	9269
603	14104	9247
604	14128	9224
605	14150	9200
606	14172	9176
607	14195	9152
608	14218	9128
609	14240	9104
610	14263	9081
611	14285	9057
612	14307	9032
613	14330	9009
614	14353	8985
615	14375	8961
616	14398	8937
617	14421	8913
618	14443	8889
619	14465	8866
620	14489	8843
621	14513	8819
622	14535	8795
623	14557	8772
624	14580	8748
625	14602	8724
626	14624	8700
627	14648	8676
628	14673	8654
629	14696	8631
630	14717	8606
631	14739	8582
632	14762	8559
633	14788	8537
634	14811	8513
635	14833	8489
636	14856	8466
637	14878	8442
638	14900	8418
639	14924	8395
640	14947	8371
641	14969	8347
642	14991	8323
643	15012	8298
644	15034	8274
645	15056	8250
646	15078	8226
647	15100	8202
648	15122	8178
649	15144	8154
650	15167	8131
651	15191	8108
652	15213	8084
653	15235	8060
654	15257	8036
655	15284	8014
656	15307	7991
657	15330	7967
658	15351	7943
659	15373	7919
660	15395	7895
661	15418	7872
662	15441	7848
663	15465	7826
664	15488	7802
665	15509	7778
666	15531	7753
667	15552	7729
668	15575	7706
669	15597	7682
670	15620	7658
671	15642	7634
672	15664	7610
673	15687	7587
674	15710	7564
675	15734	7541
676	15757	7518
677	15782	7495
678	15805	7471
679	15828	7448
680	15850	7424
681	15873	7401
682	15895	7377
683	15917	7353
684	15940	7330
685	15962	7306
686	15984	7282
687	16006	7258
688	16028	7234
689	16051	7211
690	16073	7187
691	16096	7164
692	16118	7140
693	16140	7116
694	16162	7092
695	16184	7069
696	16206	7045
697	16229	7021
698	16252	6998
699	16274	6974
700	16298	6951
701	16320	6927
702	16343	6904
703	16365	6881
704	16387	6857
705	16409	6833
706	16432	6809
707	16455	6786
708	16477	6763
709	16499	6739
710	16521	6715
711	16544	6692
712	16567	6668
713	16589	6645
714	16611	6621
715	16634	6597
716	16656	6574
717	16679	6550
718	16702	6527
719	16728	6505
720	16750	6481
721	16775	6459
722	16798	6435
723	16821	6412
724	16843	6388
725	16865	6365
726	16887	6341
727	16910	6318
728	16932	6294
729	16955	6271
730	16977	6247
731	17000	6224
732	17023	6200
733	17046	6177
734	17068	6154
735	17091	6130
736	17114	6107
737	17137	6083
738	17160	6060
739	17184	6037
740	17208	6014
741	17232	5991
742	17255	5968
743	17278	5945
744	17302	5922
745	17325	5899
746	17349	5876
747	17373	5853
748	17408	5833
749	17431	5810
750	17455	5787
751	17478	5764
752	17502	5741
753	17525	5717
754	17549	5694
755	17573	5671
756	17596	5648
757	17619	5625
758	17646	5603
759	17674	5581
760	17703	5559
761	17730	5537
762	17762	5517
763	17786	5494
764	17814	5472
765	17840	5449
766	17865	5427
767	17890	5404
768	17915	5381
769	17941	5359
770	17977	5339
771	18019	5321
772	18081	5309
773	18153	5300
774	18191	5281
775	18216	5258
776	18240	5235
777	18265	5212
778	18290	5188
779	18314	5165
780	18337	5142
781	18360	5118
782	18384	5095
783	18408	5071
784	18433	5048
785	18458	5025
786	18482	5002
787	18506	4978
788	18529	4955
789	18554	4932
790	18579	4909
791	18605	4886
792	18628	4862
793	18652	4839
794	18689	4819
795	18723	4798
796	18749	4775
797	18776	4753
798	18801	4729
799	18824	4706
800	18847	4682
801	18870	4658
802	18894	4635
803	18918	4612
804	18943	4588
805	18967	4565
806	18992	4542
807	19016	4518
808	19040	4495
809	19063	4471
810	19088	4448
811	19112	4424
812	19136	4401
813	19159	4377
814	19183	4354
815	19208	4331
816	19232	4307
817	19255	4284
818	19279	4260
819	19307	4238
820	19334	4215
821	19360	4192
822	19389	4169
823	19416	4147
824	19447	4125
825	19475	4102
826	19501	4079
827	19525	4056
828	19549	4032
829	19572	4008
830	19596	3985
831	19620	3961
832	19644	3938
833	19672	3915
834	19696	3892
835	19721	3868
836	19749	3846
837	19774	3822
838	19801	3799
839	19826	3776
840	19853	3753
841	19877	3730
842	19903	3706
843	19928	3683
844	19953	3660
845	19976	3636
846	20001	3612
847	20024	3589
848	20047	3565
849	20070	3541
850	20095	3518
851	20119	3494
852	20142	3471
853	20165	3447
854	20189	3423
855	20214	3400
856	20237	3376
857	20261	3353
858	20284	3329
859	20307	3305
860	20331	3282
861	20356	3259
862	20380	3235
863	20403	3211
864	20427	3188
865	20451	3164
866	20475	3141
867	20499	3117
868	20522	3093
869	20546	3070
870	20569	3046
871	20592	3022
872	20617	2999
873	20641	2975
874	20665	2952
875	20688	2928
876	20712	2904
877	20736	2881
878	20763	2858
879	20786	2834
880	20810	2810
881	20837	2787
882	20865	2764
883	20893	2741
884	20918	2718
885	20942	2694
886	20965	2670
887	20990	2647
888	21014	2623
889	21039	2600
890	21063	2576
891	21087	2553
892	21111	2529
893	21135	2506
894	21159	2482
895	21183	2458
896	21207	2435
897	21230	2411
898	21254	2387
899	21277	2364
900	21301	2340
901	21323	2316
902	21347	2293
903	21370	2269
904	21395	2245
905	21419	2222
906	21444	2198
907	21468	2175
908	21492	2151
909	21517	2128
910	21541	2104
911	21565	2080
912	21590	2057
913	21613	2033
914	21637	2010
915	21660	1986
916	21683	1962
917	21707	1939
918	21733	1915
919	21758	1892
920	21782	1868
921	21806	1844
922	21831	1821
923	21857	1797
924	21880	1774
925	21905	1750
926	21929	1726
927	21955	1703
928	21982	1680
929	22010	1656
930	22036	1633
931	22063	1609
932	22088	1586
933	22113	1562
934	22138	1539
935	22162	1515
936	22186	1491
937	22209	1468
938	22233	1444
939	22256	1420
940	22280	1396
941	22303	1373
942	22327	1349
943	22350	1325
944	22374	1302
945	22398	1278
946	22425	1255
947	22449	1231
948	22472	1207
949	22495	1183
950	22518	1160
951	22541	1136
952	22565	1112
953	22588	1089
954	22614	1065
955	22648	1042
956	22675	1018
957	22704	995
958	22730	971
959	22756	948
960	22780	924
961	22805	900
962	22828	877
963	22853	853
964	22879	829
965	22903	806
